Date,HDB,INFY,MMYT,RDY,REDFY,TTM,VEDL,WIT,WNS
5/17/2017,"6,23,872","84,37,869","2,81,790","1,89,502",0,"12,33,710","7,79,477","16,24,664","2,47,232"
5/16/2017,"7,27,628","50,20,409","4,70,291","3,00,841","22,560","8,07,847","8,84,681","15,45,376","1,53,766"
5/15/2017,"3,88,869","40,34,545","3,18,563","3,63,469","10,000","12,22,895","7,10,477","7,51,244","3,21,174"
05-12-2017,"4,43,643","54,19,350","4,23,833","3,36,376",0,"8,56,631","5,12,239","6,25,644","88,104"
05-11-2017,"8,02,579","1,53,22,820","3,32,432","1,91,764","1,900","11,21,642","8,31,429","11,73,348","1,61,895"
05-10-2017,"5,17,233","44,61,229","5,05,996","3,02,005",0,"9,94,105","10,35,030","13,51,770","1,87,724"
05-09-2017,"9,52,541","1,07,78,630","9,05,710","1,27,698","12,250","13,01,234","9,01,451","11,92,564","4,04,736"
05-08-2017,"8,43,229","95,53,845","4,81,865","2,65,591","2,115","17,23,995","4,32,752","12,45,002","2,78,778"
05-05-2017,"7,04,508","59,77,962","4,70,843","1,15,493","4,451","25,06,319","5,17,050","9,21,912","2,52,144"
05-04-2017,"8,65,694","51,18,950","6,47,405","1,94,008",235,"14,56,789","9,54,298","9,44,038","2,07,905"
05-03-2017,"6,14,701","37,89,919","12,28,221","1,62,532","23,404","8,45,079","6,57,875","9,58,190","2,77,904"
05-02-2017,"10,75,349","56,25,789","2,45,736","3,82,600","2,500","9,03,319","6,53,254","22,82,204","2,60,758"
